text,label
कोरोना भाइरस कोभिड को संक्रमणबाट विदेशमा थप तीन नेपालीको मृत्यु भएको छ गैरआवासीय नेपाली संघका अनुसार योसाता यूकेमा दुईजना र मलेसिया एक नेपालीको मृत्यु भएको हो कोरोना अपडेट,-1
गैरआवासीय नेपाली संघ एनआरएनए कोभिड तथ्यांक हजार सय श्रमिकलाई राहत करिब लाखको उद्धार,1
कोभिड सम्बन्धी सचेतनामुलक कार्यक्रम सम्पन्न,1
प्रधानमँत्रीज्यू चुनाव गर्ने पैसा हुने तर कोभीड बाट जनताको लागि निशूल्क खोप ल्याउन पैसा नहुने खोप ल्याउन किन ढिलाइ गरिँदैछ देश र जनताप्रति किन लापरबाही,-1
कोभिड निको भएको महिनापछि पनि अझै असरहरु किन देखिँदैछन्,0
कोभिड निको भएको महिनापछि पनि अझै असरहरु देखिँदैछन् कोरोनभाइरस र यसले गर्ने असरबारे थाहा पाउन धेरै कुराहरु बाँकी नै छन्,1
जापानमा घण्टामा कोभिड सङ्क्रमण पुष्टि भएका व्यक्तिको सङ्ख्या सात हजार पुग्यो,-1
कोरोना संक्रमण भएका वेला भेटेको व्यक्तिबारे जानकारी लुकाउने महिलालाई जेल सजाय प्रधानमन्त्रीको गृहजिल्लामा पूर्वराजाको सक्रियता फोटोफिचर चीनले कोभिड बारे अनुसन्धान गर्न डब्ल्युएचओका अनुसन्धानकर्तालाई अनुमति दियो लगायत शनिबार दिनभरका मुख्य खबर,0
भुकम्प पछि नाकाबन्दी नाका बन्दी पछि कोभिड अब ओली नसकिने भो,-1
कोभिड लाई ख्यालख्याल नसम्झिनु मरिण गाउँपालिकाका अध्यक्ष पानिराज बम्जन,1
जापानमा विगत घण्टामा कोभिड सङ्क्रमण पुष्टि भएका व्यक्तिको सङ्ख्या सात हजार पुगेको यहाँको स्वास्थ्य मन्त्रालय तथा स्थानीय अधिकारीले शनिबार बताएका छन्,0
प्रधानमन्त्री श्री द्वारा कोभिड को स्थिति तथा कोभिड टीकाकरणको तयारीको समीक्षा टीकाकरण अभियान आगामी लोहरी माघे सङ्क्रान्ति पोङ्गल माघ बिहू आदि जस्ता चाडपछि जनवरी देखि शुरु गरिनेछ,0
कोभिड को जोखिम घट्दो पाइएपछि काठमाडौंका विद्यालय खुल्ने,1
कोभिड बारे अनुसन्धानकर्ताहरुलाई अनुमति दिन चीन तयार नेपालबहस,1
ए सर कोभिड तेती खतरानाक भए यो दिनदिनै हुने सभा जुलुस भीडभाडले धेरै मानिस सक्किनु पर्ने होइन र अब त यसको प्रभाव फ्लु समान भै सक्यो कि जस्तो छकसैलाई डर छैन,-1
कोभिड बारेको अनुसन्धानमा चीनले विश्व स्वास्थ्य संगठनलाई सघाउने,1
डब्ल्यूएचओलाई कोभिड बारे अनुसन्धान गर्न दिन चीन तयार,1
स्वास्थ्य तथा जनसंख्या मन्त्री माननीय हृदयेश त्रिपाठी ज्युले कोभिड को खोपको स्टोरेज व्यवस्थापनको लागि स्वास्थ सेवा विभाग टेकु र अन्तर्राष्ट्रिय विमानस्थलको कार्गो भवनमा भएको कोल्ड स्टोरेज च्याम्बर लगायत खोपको व्यवस्थापनको बारेमा निरीक्षण गर्ने क्रममा खोपको भण्डारण र वितरणको,1
चीनमा कोभिड बारे अनुसन्धान गर्न विश्व स्वास्थ्य संगठनलाई सघाउने,1
कोभिड को उत्पत्ति बारे अनुसन्धान गर्न विश्व स्वास्थ्य संगठनलाई चीनले सघाउन,1
कोभिड बारे अनुसन्धान गर्न चीनले दियो अनुमति,1
कोभिड बारे अनुसन्धान गर्न विश्व स्वास्थ्य संगठनलाई चीनले सघाउने,1
कोभिड को अनुसन्धान गर्न विश्व स्वास्थ्य संगठनका अनुसन्धानकर्ता भित्र्याउन चीन सहमत,1
उनले ती अधिकारीहरुले चीनमा कोभिड को उत्पत्तिको बारेमा गर्ने अनुसन्धानमा पूर्ण रुपमा सघाउन चीन तयार रहेको बताए,1
चीनमा कोभिड बारे अनुसन्धान गर्न विश्व स्वास्थ्य संगठनलाई चीनले सघाउने,1
आधुनिक उपचार पद्धतिले निको पार्न नसकेको कोभिड कालमा हामीलाई हाम्रै परम्परागत औषधोपचार पद्धतिले थोरै भए पनि ढाडस दिएको छ तर हाम्रा थुप्रै औषधिजन्य वनस्पतिलाई एक एक गर्दै शक्तिशाली देशहरूले आफ्नो बनाइसकेको हामीलाई पत्तै छैन,-1
कोभिड का कारण प्रशिक्षक कालिनले दक्षिण एसियाली प्रतिद्वन्द्वीको भने सामना गर्न पाएनन् त्यसैले साफ च्याम्पियनसिप जित्ने मौका गुमाएको मान्छन् उनी उनले नेपाललाई घरेलु भूमिमा खेलाउन पाएनन् जसमा विश्वकप छनोटमा अंक बटुल्ने अवसर रहेको मान्छन्,0
राजदूत आचार्यद्वारा सेरमका प्रहाप्रवन्धकसँग कोभिड को खोपबारे छलफल,0
भारतका लागि नेपाली राजदूत निलाम्बर आचार्यले भारतमा कोभिड को खोप उत्पादन गरिरहेको सेरम इस्टिच्युटका महाप्रवन्धक प्रसेन अद्यासँग कुराकानी गरेका छन्,0
चीनले दक्षिण एसियाली मुलुकहरु पाकिस्तान अफगानिस्तान नेपाल श्रीलंका र बंगलादेशसँग कोभिड गरिवी निवारण र अन्य क्षेत्रिय विषयमा छलफल गरेको छ,0
सन् मा भने बलिउड फिल्म उद्योग निकै आशावादी छ कारण भारतमा कोभिड को खोप लगाउने तयारी हुँदै छ त्यसैले बन्द बलिउड उद्योग चलायमान हुने अपेक्षा गरिएको छ,1
परराष्ट्रमन्त्री प्रदीपकुमार ज्ञवालीले कोभिड महामारी सामान्य भएपछि मुलुकको पर्यटन क्षेत्रले उत्साहपूर्ण रुपमा फड्को मार्ने बताएका छन्,1
सरकारी मुखपत्र अनि सरकार ट्रान्सपरेन्सीले लेखेको भ्रष्ट देश हत्या बलात्कार सुन तस्कर ओम्नि स्वास्थसामाग्री खरिद घोटाला वैदेशिक रोजगारका लागि युवाशक्ति खाडि पलायन सहित असुरक्षित अवस्था यति समुह मार्फतको कमिशन गोकुल प्रकरण कोभिड को मारमा भोकभोकै जनता लाज सरम घिन नभएपछि,-1
कोभिड सामाजिक संजाल अखबार र टेलीभिजन समाचारमा देखिन्छ तर सडक हेर्यो आन्दोलन र समर्थनले भरिन्छ,-1
कोभिड को महामारीमा अग्रपङ्क्तिमा खटिएका जना चिकित्सक स्वास्थ्यकर्मी सुरक्षाकर्मी तथा सफाईकर्मी सम्मानित,1
एकै दिनमा अमेरिकी अस्पतालमा भर्ना भएका कोभिड बिरामीको संख्या शिखरमा,0
कोभिड महामारीले देखायो पूँजीवादी आर्थिक परिपाटीको संरचनात्मक कमजोरी,-1
कोभिड को खोप खरिद गर्ने बजेट चाहि छैन भन्छ अनि यो बेमौसमिवाला चुनाब खर्च कसरि जुटाउछ सरकारले अचम्म छ बा,-1
युवा बचनद्वारा कोभिड मा अग्रपङ्क्तिमा खटिएका जना चिकित्सक सुरक्षाकर्मी सफाईकर्मी सम्मानित,1
कोभीड़ को जोखिम अझै क़ायम नै छ भ्याक्सीन कैले आउने थाहा छैन पक्ष बिपक्ष सभा र जूलस को भीड़ ले कती जनता को ज्यान जोखीममा पर्नेहो कसैलाई पर्बा छैन,-1
कोभिड को जोखिम घट्दो पाइएपछि काठमाडौं उपत्यकका सामुदायिक तथा निजी विद्यालय पनि स्वास्थ्यसुरक्षा मापदण्ड पालना गरी माघदेखि क्रमश खुल्ने भएका छन्,0
इरानका सर्वोच्च नेता अयातोल्लाह अलि खामिनीले अमेरिका र बेलायतबाट कोरोना भाइरस कोभिड विरुद्धको खोप आयतमा प्रतिबन्ध लगाउने घोषणा गरेका छन्,-1
कोभिड का कारण हवाई सेवा प्रभावित हुँदा हवाई सेवा प्रदायक कम्पनीले साढे अर्बभन्दा बढी आम्दानी गुमाएका छन्,0
कोभिड को जोखिम घट्दो पाइएपछि काठमाडौं उपत्यकका सामुदायिक तथा निजी विद्यालय पनि स्वास्थ्यसुरक्षा मापदण्ड पालना गरी आउँदो माघदेखि क्रमश खुल्ने भएका छन्,1
कोभिड को जोखिम घट्दो पाइएपछि काठमाडौँ उपत्यकका सामुदायिक तथा निजी विद्यालय पनि स्वास्थ्यसुरक्षा मापदण्ड पालना गरी आउँदो माघदेखि क्रमश खुल्ने भएका छन्,1
कोभिड विरुद्धको खोप प्राप्त भएपछि पहिलो चरणमा खोप लगाउनका लागि स्वास्थ्य मन्त्रालयद्वारा फ्रन्ट लाइनमा खटिनेहरूको विवरण माग,0
आरटीआईले कोभिड का कारण विद्यालय सञ्चालन हुन नसकि अवरुद्ध रहेको विद्यार्थीहरुको पठनपाठन प्रक्रियालाई सुचारू गर्न सो कार्यक्रम सञ्चालन गर्ने भएको हो,1
तामाङ सन्जिला सन् कोभिड महामारी र नेपालको विद्यालय शिक्षा सम्बन्धी सन्दर्भ सामग्री,0
व्यसायलाई सञ्चालनमा ल्याएर पर्यटन उद्योगलाई विस्तारै पुनस्थापना गर्नुपर्ने व्यवसायीले माग गरेका छन् कोभिड को सङ्क्रमण सुरु भएपछि लकडाउनका कारण ठमेल क्षेत्र अहिलेसम्म ठप्प छ,0
कोभिड को प्रकोप बढेपछि जापानका मुख्य शहरमा लकडाउनको घोषणा,1
कोभिड को सबैभन्दा बढी प्रभाव काठमाडौंमा रहेकाले जनस्वास्थ्यको मापदण्ड निरन्तर पालना गर्नु आवश्यक देखिएको छ हाल जनस्तरमा देखिएको व्यापक उदासीनताका कारण काठमाडौंमा कोभिडको दोस्रो लहरको जोखिम कायमै छ,1
खास गरेर चीन सरकारको आर्थिक सहयोगमा निर्माण गर्ने भनिएका सडकको निर्माण नेपालमा कोभिड को संक्रमण देखिएदेखि नै अघि बढिरहेको छैन,0
गिरिजा प्रसाद कोइराला फाउण्डेशन अमेरीका च्याप्टरको पहलमा न्युयोर्क शहर मेयर कार्यालय सॅंग सहकार्य गर्दै अब छिट्टै कोभीड को खोप,1
कोभिड भाइरसको महामारी थप फैलिदै गएपछि जापानको राजधानी टोकियोमा संकटकाल घोषणा गरिएको छ जापान सरकारले बिहीबार एक महिना लामो संकटकाल घोषणा गरेको हो,-1
कोभिड का कारण लामो समयसम्म पूर्वाधार निर्माण सुस्त रहे पनि सरकारका लगानीका अधिकांश योजना अहिले अघि बढिरहेका छन्,1
हजार सय पार भयो कोभिड बाट मृत्यु हुनेको संख्या,-1
चीनले कोरोना भाइरस कोभिड को उत्पत्तिको विषयमा अनुसन्धानमा खटिएका विज्ञहरुलाई चीन प्रवेशमा रोक लगाएको छ विश्व स्वास्थ्य संगठन डब्ल्यूएचओ का अनुसार अनुसन्धानको लागि गएका दुई वैज्ञानिकलाई चीन प्रवेशमा रोक लगाइएको छ,-1
नेपाल आएको नि आजबाट ठ्याक्कै वर्ष पूरा भएछ अन्लाईन पढाइ बाहेक वर्ष अन्य सिकाइ यात्रा खेतीपाती लगायतका अरू अनुभूति हरुले कोभिड कै बाबजुद पनि विशेष र उपलब्धिमूलक नै रह्यो भन्नपर्ने हुन्छ यो हिउँदे बिदा पश्चात् विश्वविद्यालय अध्ययनलाई फेरि पुरानै लयमा फर्काउन पाइयोस्,0
ले पौस गते माछापुच्छ्रे गाउँपालिका धम्पुस स्थित उदय माध्यमिक विद्यालयमा युरोगार्ड सहयोग गरेको छ सोही कार्यक्रममा कोभिड को महामारीमा विद्यालय सञ्चालनमा रहेको हुँदा स्वास्थ्य सुरक्षाका सामग्री पनि सहयोग गरेको छ,1
कोभिड को जोखिम न्युनिकरण र रोकथामको लागि विभिन्न संस्थाहरुलाई स्वास्थ्य सुरक्षाका सामग्रीहरु वितरण गर्दै आईरहेको ले पौष गते पोखरा महानगरपालिका वडा नं को बेगनास आमा समुह र वडा नं को लेखनाथ सृहनशिल अपाङगता समुहलाई उक्त सामग्रीहरु वितरण गरेको छ,1
अस्ट्रेलियामा कोभिड विरुद्धको खोप आउँदो महिना सुरु हुने र मार्च महिना सम्म लाख जनालाई खोप दिइने लगायत आजको प्रमुख समाचार यहाँ सुन्नुहोस् अस्ट्रेलिया नेपाल समाचार,1
वायु प्रदूषण कोभिड मधुमेह र जीर्ण मुटु र फोक्सोको रोगहरूमा बढि जोखिमसङ्ग सम्बन्धित छ आफुलाई उत्त जोखिमवाट बचाउने केहि तरिकाहरू,1
हिमाली क्षेत्रमा कोभिड को सङ्क्रमण नदेखिएपछि पाहुनाको सेवाका लागि स्थापित पर्यटकीय होटल तथा लज पुन सञ्चालनमा आएका छन्,1
कोरोना भाइरस कोभिड का कारण थला परेको पर्यटन व्यवसायको पुनर्उत्थानका लागि नेपाल भारत श्रीलंका र माल्दिभ्स बिचमा संयुक्त छलफल हुने भएको छ,1
कोभिड परिक्षण प्रयोगशालाका कर्मचारीले पाएनन् पारिश्रमिक,-1
भर्खरै सुरु भएको सन् मा विश्व अर्थतन्त्रको आकार प्रतिशतले वृद्धि हुने विश्व बैंकले अनुमान गरेको छ कोभिड विरुद्धको प्रारम्भिक खोप अभियान व्यापक बन्दै जाने अनुमानका आधारमा विश्व बैंकले यस्तो प्रक्षेपण गरेको हो,0
म्याद सकिन लाग्दा हुलाकी सडकमा प्रतिशत काम बाँकी भारतीय निर्माण व्यवसायीले काम अलपत्र पारेको र कोभिड का कारण ढिलाइ भएको आयोजनाको दाबी,-1
हङकङमा नेपाली टोपी दिवश कोभीड को असरका बीचमा पनि हङकङका नेपालीले विगतका वर्षमा जस्तै टोपी दिवशलाई निरन्तरता दिएकाछन्,1
भारतबाट कोभिड को खोप ल्याउन कूटनीतिक पहल सुरु,1
भारतबाट कोभिड को खोप ल्याउन कूटनीतिक पहल तीव्र,1
भारत बायोटेकको कोभिड खोप नेपालमा क्लिनिकल परीक्षण,0
मा कोभिड को महामारी बीच विभिन्न क्षेत्रसंगै सञ्चार क्षेत्रपनि निकै प्रभावित हुन पुग्यो सञ्चारकर्मीहरूले निकै समस्या र चुनौतीको सामना गर्नुप यो यो पृष्ठभूमिको चर्चासंगै ले गर्नुभएको विश्लेषण सुनौं उहाँकै आवाजमा,0
कोभिड खोपकै खतरा कोरोनाविरुद्धको खोप लगाएको दिनमै संसार छाडिन् यी स्वास्थ्यकर्मीले,-1
कोरोनाविरुद्धको खोप भारतबाटै ल्याउने तयारी कोभिड चिनिया भ्याक्सिन,0
कोरोना कहर खोपसँगै कोभिड को त्रासमा रहेको विश्व मानव समुदायलाई आशाको सञ्चार,1
कोभिड पछि श्रीलंकाले आफ्नो जनसंख्याको झन्डै प्रतिशतलाई समेट्ने पाकिस्तानले प्रतिशत भारतले प्रतिशत बंगलादेशले प्रतिशत र भुटानले प्रतिशत नागरिक लाभान्वित हुने गरी आपतकालीन सामाजिक सुरक्षा कार्यक्रम ल्याउँदा नेपालको नाम पुछारतिर पनि छैन,-1
लाखौ युवाहरुको नेतृत्व तपाईं हामी सबैको कामना छ छिट्टै कोभिड बाट मुक्त हुनेछ सिघ्र स्वास्थ्य लाभको कामना दाज्यु,1
नुवाकोटमा थप जनामा कोभिड को संक्रमण पुष्टि भएको छ पछिल्लो घण्टामा जना संक्रमित संक्रमणमुक्त भएका छन्,0
इन्डोनेसियाको कोभिड खोप नियमित काममा जानेलाई पहिलो प्राथमिकता,1
कोभीड खोप लगाएको दुई दिनपछि मृत्यु,-1
क्यानडाको स्वास्थ्य मन्त्रालयले आज गर्ववति र दुध खुवाऊने आमाहरू लाई कोभिड को खोप नलगाऊन सल्लाह जारि गरेको छ॥,0
कोभिड को पहिलो छालबाट तैरिनै लाग्दा मापदण्ड नअपनाउने रोकथामका उपायलाई बेवास्था गर्ने र जताततै खुला छाड्ने हो भने नयाँ प्रजातिसहितको दोस्रो छाल आएमा हामी डुब्ने निश्चित छ किनकि कोरोना भाइरसको नयाँ प्रजाति झनै संक्रामक देखिएको छ,1
कोभिड महामारीको शुरुवाति दिनजस्तै स्वास्थ्यकर्मी र उनका परिवार नयाँ प्रजातिको कोरोना भाइरसको उच्च जोखिममा रहनेछन् कोभिड को संक्रमण संख्या घट्दै जाँदा स्वास्थ्यकर्मीका लागि पीपीईको उपलब्धता कम हुनु र हेलचेक्र्याँइ बढ्नु घातक हुन सक्छ,0
कोभिड को कारण जनता मा डर त्रास को अवस्था रहेको बेला देश मा ऐले राजनितीक किचलो संसद बिघटन अनि पक्ष बिपक्ष का वाद बिवाद ले ज्यादै अन्योल को सिर्जना भएको ले के सत्य हो के ठिक हो कस्ले भन्ने र तर समय ले त खोतल्छ,0
याबाइ निहोन् कोभिड ले निधन संक्रमण गम्भिर देखी प्रिफेक्चर संख्याको नयाँ रेकर्ड,0
नेपालमा कोभिड को भ्याक्सिन ल्याउने र वितरण गर्नेबारे सरकारी तयारी भए नभएको समाचार पढ्न छुटाइरहेको रैछु लौ न लिंक पाउँ सबै समाचार राजनीतिक तुवाँलोले ढाकिए,-1
बेलायतमा कोभिड को सङ्क्रमण बढ्दै गएपछि प्रधानमन्त्री बोरिस जोनसनको भारत भ्रमण स्थगित भएको डाउनिङले स्ट्रिटले जानकारी गराएको छ,0
देशभर सङ्क्रमित थप नेपालमा थप जना कोभिड का सङ्क्रमित भेटिएका छन् स्वास्थ्य तथा जनसङ्ख्या मन्त्रालयका अनुसार गत घण्टामा देशभर चार हजार ज,-1
नेपालमा थप जना कोभिड का सङ्क्रमित भेटिए,0
कोभिड नियन्त्रणका लागि बनाइएका नियम र मापदण्ड कार्यान्वयनवारे भिन्न निकायका भिन्न कुरा,-1
गण्डकीमा कोभिड विरुद्ध साझा संकल्प प्रस्ताव ल्याउन सबै दल सहमत,1
कोभिड घण्टामा जना संक्रमित थपिए काठमाडौं उपत्यकामा जनामा संक्रमण,0
के नेपालमा कोभिड नियन्त्रणका लागि बनाइएका नियम र मापदण्ड हटेका हुन्,-1
कोरोना भाइरस नेपाल के कोभिड नियन्त्रणका लागि बनाइएका नियम र मापदण्ड हटेका हुन्,-1
फाइजर कं ले उत्पादन गरेको कोभीड खोप लिएको दुई दिनपछि पोर्तुगाली नर्सको मृत्यु,-1
नोवेल कोरोनाभाइरस कोभिड महामारीका बेला विराटनगरका सडक आन्दोलनमा निस्किएका नेताहरूलाई पछ्याउँदै जनताले पनि सडक तताएका छन् त्यसको असर स्वास्थ्य क्षेत्रमा परिरहेको छ,-1
बाँकेमा तीन जना कोरोना संक्रमितको मृत्यु कोभिड,-1
भारतमा आपातकालिन अनुमती पाएको कोभीड को खोप ल्याउन पहल शुरू भएको छ तर भारत चीन लगायत अन्य ठाउमा शुरू गरिएको नेपालको लागी अनुकुल खोप कोभीडको दोश्रो लहर आउनु अगाबै ल्याउन तुरन्त युद्धस्तरमा कार्य आवश्यक छ नविसौँ बेलायत लाईखोप लगाउन थाले पछि पुन बाध्य भएर लकडाउन गर्नु परेको छ,0
टीकाबारे के कोभिड टीकाकरण चाँडै शुरु गरिनेछ टीकालाई अन्तिम रूप दिने प्रक्रिया परीक्षणको विभिन्न चरणमा छन् चाँडै शुरु गर्न भारत सरकार तयार छ,0
बढाई छ सिस कोभिड लाई परास्त गर्न सफल हुनुभएकोमा,1
उत्तरी नाकामा निरन्तरको अवरोध र कोभिड का कारण आर्थिक गतिविधिमा संकुचन आउँदा सरकारले चालू वर्षमा लिएको लक्ष्य भेट्न नसक्ने अवस्था आएको छ,-1
कोभिड विरुद्ध खोप लगाउँदाको अनुभव,0
बेलायतमा पुन लकडाउन शुरु कोभिड को नयाँ भेरियन्टबाट बच्न घरमै बस्न बोरिसको आग्रह,1
मन्त्रालयले भन्याे अनावश्यक रुपमा कोभिड को परीक्षण नगर्नु नेपालबहस,1
क्रिसमस र नयाँ वर्षको बिदाले क्यानडामा विभिन्न राज्यका मन्त्रीहरूको पद भटाभट खुस्किरहेको छ बिदामा देश बाहिर गएर कोभिड को लकडाउन नियम नमानेकाहरू हट्ने क्रम जारी,0
थप मा कोरोना भाइरस सङ्क्रमण पुष्टि देशभर पछिल्लो घण्टामा थप जनामा कोभिड को सङ्क्रमण पुष्टि भएको छ स्वास्थ्य तथा जनसङ्ख्या मन्त्रालयका अनुसार पछिल्लो समय च,0
चीनमा कोभिड विरुद्धको खोप लगाउन थालिएको छ,1
कोभिड महामारीले नेपाली आप्रवासी श्रमिकहरूलाई पारेको प्रभावसम्बन्धी रेडियो कार्यक्रम सुरू,0
कोभिड महामारीले देखायो पूँजीवादका कमजोरी,0
कोभिड महामारीले यसअघिका महामारीजस्तै कुनै बच्चा वा गर्भवती आमाको स्वास्थ्यमा प्रत्यक्ष प्रभाव त पार्नेछैन् तर महामारीका आर्थिक प्रभावले भने यो पिँढीलाई तहसनहस पार्न सक्नेछ यो कहरको शिकार गर्भमा रहेका बच्चाहरू पनि हुनेछन्,-1
नेपाली म्युजिक भिडियो अवार्ड को चौथो संस्करण घोषणा कोभिड को कारण सुन्यजस्तै रहेको मनोरञ्जन क्षेत्र पछिल्लो समयम लकडाउन खुलेसंगै सुरक्षा अपनाएर गतिबिधि चलयमान भएको छ फिल्म हल खुले स,1
बेइजिङका हजारौं बासिन्दालाई कोभिड विरुद्धको खोप,1
पछिल्लो घण्टामा थप जनामा कोरोना भाइरस कोभिड को संक्रमण पुष्टि भएको छ देशभरका प्रयोगशालामा नमुना परीक्षण गर्दा महिला र पुरुषमा संक्रमण पुष्टि भएको हो,0
बालबालिका तथा किशोर किशोरीहरूलाई यस कठिन परिस्थितिसँग जुध्न अभिभावकहरूले कसरी सहयोग पुर् याउन सक्छन् कोभिड महामारीको सन्दर्भमा परिवारहरूका लागि उपयोगी केही श्रोत सामग्री,1
नयाँ वर्षका अवसरमा हुन सक्ने व्यापक यात्रा र घुमफिरलाई ध्यानमा राखी पेचिङका हजारौं बासिन्दालाई कोभिड विरुद्धको खोप लगाउन थालिएको,1
चीनमा फेब्रुअरीमा मनाइने नयाँ वर्षका अवसरमा हुन सक्ने व्यापक यात्रा र घुमफिरलाई ध्यानमा राखी बेइजिङका हजारौँ बासिन्दालाई कोभिड विरुद्धको खोप लगाउन थालिएको छ,1
स्ट्रेलियाको सबैभन्दा धेरै मानिसको बसोबास रहेको राज्य न्यु साउथ वेल्समा सोमबार कोरोना भाइरस कोभिड का नयाँ संक्रमितको संख्या शून्यमा झरेको छ,1
